MJD,COLOR_OBS,DCOLOR_OBS,BAND1,BAND2,COL_NAME,INST,PHASE,COLOR_TEMP,DCOLOR_TEMP
58880.3,0.2884697000000003,0.58307565269279,B,g,B-g,Synthetic,16.067535070142185,0.4927163376753555,0.020972586072142176
58880.4,0.15069469999999896,0.5590086235079651,B,g,B-g,Synthetic,16.16753507014073,0.49296008416833775,0.020863462124248014
58883.01,-0.07117513432260125,1.5358359547816298,B,g,B-g,Sinistro,18.77753507014131,0.4947292254509011,0.020068267535070655
58883.38,0.6016362486574209,0.010633908030446648,B,g,B-g,Swope,19.147535070136655,0.4944174649298634,0.020286647795588825
58875.0,0.23960870000000156,0.552522433746149,B,g,B-g,Synthetic,10.767535070139274,0.45209171643285234,0.019078185671340946
58864.6,0.2562837000000009,0.5201043301361533,B,g,B-g,Synthetic,0.3675350701378193,0.24961428255705959,0.02295900435592039
58868.6,0.3035547000000012,0.5306869495807606,B,g,B-g,Synthetic,4.367535070137819,0.336665269979908,0.01995605078156202
58869.35,0.5972728065216959,0.006409368143584774,B,g,B-g,Swope,5.117535070137819,0.3523141024448391,0.020177110156312402
58870.5,0.3752817000000004,0.5433825459893539,B,g,B-g,Synthetic,6.2675350701392745,0.3756042343887576,0.019891975607215045
58872.4,0.33971769999999957,0.5482003762103973,B,g,B-g,Synthetic,8.16753507014073,0.41140333074149094,0.018089028384769123
58875.38,0.687475371582142,0.016126996000495546,B,g,B-g,Swope,11.147535070136655,0.45699168837670817,0.019767540581155544
58876.7,0.495751699999996,0.5794023925832134,B,g,B-g,Synthetic,12.467535070136364,0.4716003366733091,0.02203879699398273
58878.06,-0.11779741731280069,1.5358359547816298,B,g,B-g,Sinistro,13.827535070136946,0.48265873146290383,0.022892070440882196
58880.3,0.9635788000000005,0.4086090742456785,g,r,g-r,Synthetic,16.067535070142185,0.8962225148296683,0.01172994114228436
58880.4,0.34096480000000184,0.3933265572179569,g,r,g-r,Synthetic,16.16753507014073,0.8966924613226473,0.011718951843687335
58882.32,0.7134403610232454,0.009903534722511763,g,r,g-r,Swope,18.087535070138983,0.9014002675350695,0.011708232104208339
58881.28,0.7585668000000005,0.025068804692685243,g,r,g-r,Thacher,17.04753507013811,0.899829391182359,0.01167619464929862
58882.09,0.7682668000000028,0.021231110295271718,g,r,g-r,Siding Spring 1m,17.857535070135782,0.9012205350701358,0.01169552675350679
58883.12,0.648966800000002,0.019868572310309425,g,r,g-r,Siding Spring 1m,18.887535070141894,0.9013256254509007,0.011762642805611352
58884.0,0.7463668000000023,0.0234682647370869,g,r,g-r,Siding Spring 1m,19.767535070139274,0.9002090368737493,0.01182803745490975
58864.6,0.6743907999999994,0.36444061667219935,g,r,g-r,Synthetic,0.3675350701378193,0.23683088810009162,0.01915095559499542
58864.34,0.016966799999998727,0.023644343963197548,g,r,g-r,Thacher,0.10753507013578201,0.22557353381109374,0.01969991611181877
58866.32,0.1732668000000004,0.01855188412264362,g,r,g-r,Thacher,2.0875350701389834,0.31951443663319934,0.016625861819638914
58867.4,0.33846679999999907,0.01177961570654997,g,r,g-r,Siding Spring 1m,3.1675350701407297,0.3775422704208668,0.018042851438878647
58867.35,0.27326680000000003,0.01980008807783426,g,r,g-r,Thacher,3.1175350701378193,0.37476198989966275,0.017944832737470127
58868.6,0.8429137999999998,0.37133983666351594,g,r,g-r,Synthetic,4.367535070137819,0.4471266652503519,0.019695037402805513
58869.57,0.5946668000000006,0.00583780780773051,g,r,g-r,Pan-STARRS1,5.337535070138983,0.5077865925450061,0.01867847947094427
58869.27,0.4094668000000006,0.01227841266990562,g,r,g-r,Siding Spring 1m,5.037535070136073,0.4885530964325998,0.01920188804409453
58869.35,0.5493309681311604,0.006409368143584774,g,r,g-r,Swope,5.117535070137819,0.4936396574747929,0.019071919731467084
58871.27,0.7383668000000014,0.01381155392841793,g,r,g-r,Siding Spring 1m,7.037535070136073,0.6262169795988926,0.02389795423651275
58872.4,0.9551107999999999,0.3832775752499134,g,r,g-r,Synthetic,8.16753507014073,0.6994732054910076,0.016800727254507448
58872.29,0.8487667999999999,0.013332625296902304,g,r,g-r,Siding Spring 1m,8.057535070140148,0.6930615431663248,0.017229707250501568
58872.35,0.7970199383180887,0.004481071300481529,g,r,g-r,Swope,8.11753507013782,0.6965644210820211,0.01699388127856664
58873.4,0.8652668000000006,0.020794343004769268,g,r,g-r,Thacher,9.16753507014073,0.7511927327054313,0.014567962072143791
58874.29,0.8041667999999991,0.023992110750411258,g,r,g-r,Thacher,10.057535070140148,0.7882836510471092,0.013908619338278215
58876.7,1.210446800000005,0.4033826137985286,g,r,g-r,Synthetic,12.467535070136364,0.8554203803606455,0.012912753867737273
58876.03,0.8094667999999974,0.015992497197123288,g,r,g-r,Siding Spring 1m,11.79753507013811,0.8409036811622732,0.013213869919840611
58876.36,0.9323276692949758,0.00860697391653988,g,r,g-r,Swope,12.127535070139857,0.8484036110220349,0.013068759218437065
58877.26,0.8378667999999987,0.030590149892571535,g,r,g-r,Siding Spring 1m,13.027535070141312,0.8655248821643458,0.012655153867734997
58879.4,0.17643979999999715,0.3863079217389939,g,r,g-r,Synthetic,15.16753507014073,0.8906339595190415,0.011880882284569039
58869.36,0.5432667999999996,0.01227841266990562,g,r,g-r,Siding Spring 1m,5.1275350701398565,0.49427765747492286,0.019055019731463643
58870.27,0.5082667999999995,0.012639596595500915,g,r,g-r,Siding Spring 1m,6.037535070136073,0.5544961458113347,0.01814018104608642
58871.35,0.8479429558812779,0.004252058325093744,g,r,g-r,Swope,7.117535070137819,0.6319667640078404,0.023171715278578923
58872.33,0.7242668000000005,0.019524597418128734,g,r,g-r,Thacher,8.09753507014102,0.6954004210822075,0.01707128127855425
